====================================================================================================
REASONING BY CONFIDENCE BIN — per (model, dataset) × disjoint 10% bins within top-50% pool
Rows: 270  |  Columns: ['model', 'dataset', 'bin_label', 'bin_start_pct', 'bin_end_pct', 'total_traces_in_bin', 'sampled_traces', 'random_seed', 'mean_reasoning_score', 'std_reasoning_score', 'stderr_reasoning_score', 'ci_lower', 'ci_upper', 'bootstrap_ci_lower', 'bootstrap_ci_upper', 'mean_accuracy_population']
====================================================================================================
       model       dataset bin_label  bin_start_pct  bin_end_pct  total_traces_in_bin  sampled_traces  random_seed  mean_reasoning_score  std_reasoning_score  stderr_reasoning_score  ci_lower  ci_upper  bootstrap_ci_lower  bootstrap_ci_upper  mean_accuracy_population
    DS-R1-7B CommonsenseQA     10-20             10           20                 1954              50    708767532                0.8225               0.1538               0.0217506  0.778791  0.866209            0.779969             0.86375                  0.567554
    DS-R1-7B CommonsenseQA     20-30             20           30                 1953              50   1898560217               0.79875             0.164775               0.0233027  0.751921  0.845579                0.75             0.84375                  0.558116
    DS-R1-7B CommonsenseQA     30-40             30           40                 1954              50   1043124556               0.75375             0.160918               0.0227572  0.708018  0.799482             0.71125             0.79875                  0.547083
    DS-R1-7B CommonsenseQA     40-50             40           50                 1953              50    471242906               0.70125             0.208742               0.0295205  0.641926  0.760574            0.642469             0.75875                  0.506912
    DS-R1-7B          GPQA      0-10              0           10                  717              50    411290705               0.62875             0.178754               0.0252797  0.577949  0.679551            0.582469                0.68                  0.430962
    DS-R1-7B          GPQA     10-20             10           20                  717              50    382268190                0.6475              0.20507               0.0290012   0.58922   0.70578             0.59125             0.70375                  0.377964
    DS-R1-7B          GPQA     20-30             20           30                  717              50    835623458                 0.655             0.178232               0.0252058  0.604347  0.705653            0.608719             0.70375                   0.44212
    DS-R1-7B          GPQA     30-40             30           40                  717              50    856563308                  0.63             0.178946               0.0253068  0.579144  0.680856             0.58125            0.678781                  0.447699
    DS-R1-7B          GPQA     40-50             40           50                  716              50   1859092451               0.64625             0.199093                0.028156  0.589668  0.702832              0.5925              0.7025                   0.48324
    DS-R1-7B         GSM8K      0-10              0           10                 2111              50    865017570               0.98875            0.0795495                 0.01125  0.966142   1.01136               0.955                   1                  0.969209
    DS-R1-7B         GSM8K     10-20             10           20                 2110              50    558995509                  0.95             0.144522               0.0204384  0.908927  0.991073             0.90625               0.985                  0.953555
    DS-R1-7B         GSM8K     20-30             20           30                 2111              50   1305439568                 0.985            0.0742307               0.0104978  0.963904    1.0061              0.9625                   1                  0.949787
    DS-R1-7B         GSM8K     30-40             30           40                 2110              50   1778159113                0.9925            0.0392045              0.00554435  0.981358   1.00364                0.98                   1                   0.93981
    DS-R1-7B         GSM8K     40-50             40           50                 2110              50   1279923463                 0.955             0.115064               0.0162726  0.922299  0.987701             0.92125            0.982531                  0.930332
    DS-R1-7B       MATH500      0-10              0           10                  800              50   2021412990                  0.94             0.142835               0.0201999  0.899407  0.980593            0.896219             0.97625                    0.7725
    DS-R1-7B       MATH500     10-20             10           20                  800              50    674477170                 0.945             0.115479               0.0163312  0.912181  0.977819            0.911219               0.975                   0.75375
    DS-R1-7B       MATH500     20-30             20           30                  800              50    534918180                 0.885             0.188289               0.0266281  0.831489  0.938511              0.8325             0.93375                   0.73375
    DS-R1-7B       MATH500     30-40             30           40                  800              50   1322930183                 0.845              0.18568               0.0262591   0.79223   0.89777             0.79375              0.8925                   0.71875
    DS-R1-7B       MATH500     40-50             40           50                  800              50    403741652                 0.855             0.195387               0.0276319  0.799472  0.910528                 0.8             0.90875                    0.6475
    DS-R1-7B         SVAMP      0-10              0           10                 1600              50   2024857645                  0.99            0.0510727              0.00722277  0.975485   1.00451             0.97375                   1                    0.9625
    DS-R1-7B         SVAMP     10-20             10           20                 1600              50    106000360                0.9675             0.117938                0.016679  0.933982   1.00102                0.93             0.99375                      0.96
    DS-R1-7B         SVAMP     20-30             20           30                 1600              50   2113622493                0.9425             0.137651               0.0194667   0.90338   0.98162               0.905             0.97625                   0.95375
    DS-R1-7B         SVAMP     30-40             30           40                 1600              50   1427337055               0.97625            0.0756456               0.0106979  0.954752  0.997748              0.9525               0.995                  0.958125
    DS-R1-7B         SVAMP     40-50             40           50                 1600              50   1233239560               0.95375             0.131714               0.0186271  0.916317  0.991183             0.91375               0.985                  0.953125
