model,unfiltered_reasoning_avg,frs_avg,unfiltered_rank,frs_rank,delta_rank
DS-R1-1.5B,0.6310416666666666,79.9,7,2,5
DS-R1-7B,0.7707291666666666,88.5,2,1,1
Gemma-7B,0.4171875,26.3,9,9,0
LLaMA-3.1-8B,0.6278125,63.1,8,8,0
Phi-4,0.7503125,74.2,3,4,-1
Phi-4-Reas.,0.7739583333333333,69.7,1,6,-5
Qwen2.5-7B,0.7323958333333334,68.1,5,7,-2
Qwen2.5-Math,0.7440625000000001,73.8,4,5,-1
Qwen3-4B,0.7191666666666666,76.3,6,3,3
