model,n_benchmarks,unfiltered_macro_mean,unfiltered_macro_std
DS-R1-1.5B,6,0.6310416666666666,0.09089027267351919
DS-R1-7B,6,0.7707291666666666,0.12857112371822324
Gemma-7B,6,0.4171875,0.10478158085990115
LLaMA-3.1-8B,6,0.6278125,0.1482427011272393
Phi-4,6,0.7503125,0.14198412653356712
Phi-4-Reas.,6,0.7739583333333333,0.14389322574974356
Qwen2.5-7B,6,0.7323958333333334,0.10607368950011432
Qwen2.5-Math,6,0.7440625000000001,0.1546774617955053
Qwen3-4B,6,0.7191666666666666,0.11320174652657382
