model,sc_rank_k8,sc_rank_k16,rank_difference,absolute_rank_difference,sc_frs_avg_k8,sc_frs_avg_k16
DS-R1-7B,1.0,1.0,0.0,0.0,92.4019083637166,94.06828962306115
DS-R1-1.5B,3.0,3.0,0.0,0.0,85.56932922741744,86.16427199534785
Qwen2.5-7B,7.0,7.0,0.0,0.0,77.55543068043067,79.5453695427927
Phi-4,5.0,5.0,0.0,0.0,83.47311253561254,85.00953075195596
Qwen3-4B,4.0,6.0,-2.0,2.0,84.58364042003747,82.19369397041498
