held_out_benchmark,train_metric,test_target,spearman_r,spearman_p,pearson_r,pearson_p,n_models
MATH500,trace0_pct,pass1_pct,0.7113032974423646,0.03165655703330228,0.7918745007033305,0.010974050419387184,9
SVAMP,trace0_pct,pass1_pct,0.5333333333333333,0.13922686754397814,0.8205409412584346,0.006731432958517079,9
AQuA,trace0_pct,pass1_pct,0.15,0.7000942309691419,0.4223054416153396,0.257505397569475,9
GPQA,trace0_pct,pass1_pct,0.3,0.4328453267094823,0.41362845997575826,0.26844320197816013,9
CSQA,trace0_pct,pass1_pct,0.25,0.5164895523012263,0.2649168785781905,0.49089031050381954,9
GSM8K,trace0_pct,trace0_pct,0.7999999999999999,0.00962792472537983,0.9464849731938587,0.00011076107365195028,9
MATH500,trace0_pct,trace0_pct,0.8666666666666667,0.0024953982859902053,0.8989105018913276,0.0009784404071510012,9
SVAMP,trace0_pct,trace0_pct,0.5714487486348921,0.10797035347412806,0.6177660126280651,0.07625355399469785,9
AQuA,trace0_pct,trace0_pct,0.6333333333333333,0.06708578689234565,0.7508318537775089,0.019728343304950817,9
GPQA,trace0_pct,trace0_pct,0.6386780131801736,0.06410620825872809,0.5871212065608552,0.09648073112835132,9
CSQA,trace0_pct,trace0_pct,0.41666666666666663,0.26458604674749614,0.712125584908015,0.031370014210266285,9
GSM8K,trace0_pct,unfiltered_pct,0.6666666666666667,0.0498672305688851,0.8575510346218287,0.0031161178609853462,9
MATH500,trace0_pct,unfiltered_pct,0.48333333333333334,0.18746985521554207,0.7655713830745078,0.016188694455235395,9
SVAMP,trace0_pct,unfiltered_pct,0.7999999999999999,0.00962792472537983,0.8970580564024521,0.001040698132973093,9
AQuA,trace0_pct,unfiltered_pct,0.5666666666666667,0.11163298761149114,0.7613123064893296,0.017163921584047,9
GPQA,trace0_pct,unfiltered_pct,0.26666666666666666,0.4879222748387009,0.7237269539416991,0.027506234980221634,9
CSQA,trace0_pct,unfiltered_pct,0.48333333333333334,0.18746985521554207,0.6844564839385242,0.04196930095492806,9
GSM8K,unfiltered_pct,frs_pct,0.31666666666666665,0.4063970144863861,0.7437075983744327,0.021609139265609503,9
MATH500,unfiltered_pct,frs_pct,0.6,0.0876228290414024,0.8652043775020603,0.002588636818380169,9
SVAMP,unfiltered_pct,frs_pct,0.16666666666666669,0.668231040071504,0.6438537459573828,0.06130151401634435,9
AQuA,unfiltered_pct,frs_pct,0.5774109120414489,0.10350688483298859,0.8562691171971032,0.0032111551516749797,9
GPQA,unfiltered_pct,frs_pct,0.6166666666666666,0.07692880993776309,0.8492400452414446,0.003767945810679009,9
CSQA,unfiltered_pct,frs_pct,0.5166666666666667,0.1543901209862251,0.6847846675310837,0.04183174302285608,9
GSM8K,unfiltered_pct,pass1_pct,0.9,0.0009430623223403293,0.9060697218347215,0.0007621049944460346,9
MATH500,unfiltered_pct,pass1_pct,0.8703005051059519,0.0022737783952579693,0.9253704277781025,0.00034736495617091156,9
SVAMP,unfiltered_pct,pass1_pct,0.8833333333333333,0.0015905004234978701,0.9379350349438282,0.00018450093624229234,9
AQuA,unfiltered_pct,pass1_pct,0.7999999999999999,0.00962792472537983,0.7857226803801053,0.012073600714146336,9
