train_metric,test_target,mean_spearman,std_spearman,mean_pearson,std_pearson,n_folds
frs_pct,frs_pct,0.711681810096768,0.1584597558477318,0.878332389478246,0.07723099517523377,6
frs_pct,pass1_pct,0.20861285936712456,0.17253387978381013,0.5511128179833468,0.2210319359793182,6
frs_pct,trace0_pct,0.352596130170083,0.20434419211450158,0.6552379614936471,0.14223864531344277,6
frs_pct,unfiltered_pct,0.33888888888888885,0.08210201423071631,0.7747679343049194,0.059372683503461345,6
pass1_pct,frs_pct,0.27661600379134416,0.18358934328123197,0.6320758844309138,0.09923566846732342,6
pass1_pct,pass1_pct,0.5489081075220142,0.25359984871631314,0.6802451374849033,0.2568040358296942,6
pass1_pct,trace0_pct,0.24327825054917387,0.3088379881665605,0.5706659677086653,0.26856889190766736,6
pass1_pct,unfiltered_pct,0.5888888888888888,0.23158071946867603,0.7979337407977297,0.08822720922495222,6
trace0_pct,frs_pct,0.3155165395983077,0.20364548152052644,0.7441700753845039,0.10024728252997903,6
trace0_pct,pass1_pct,0.39077277179594966,0.2045368770340886,0.5806386375238051,0.24120032622398432,6
trace0_pct,trace0_pct,0.6544655714136219,0.16145928599801154,0.7522066888266051,0.14574083674714747,6
trace0_pct,unfiltered_pct,0.5444444444444444,0.1818627891408082,0.7816127030780567,0.08068925668455297,6
unfiltered_pct,frs_pct,0.46567959645135254,0.18304984010686706,0.7738432586339178,0.09650120797776368,6
unfiltered_pct,pass1_pct,0.5839389730732142,0.4481723778464382,0.6700948590821697,0.3538681792828169,6
unfiltered_pct,trace0_pct,0.41634436958931825,0.13931885388679466,0.6953906847183565,0.1923063139302768,6
unfiltered_pct,unfiltered_pct,0.7083333333333334,0.11093040861529155,0.8736837540310183,0.0730064525127301,6
