model,dataset,top_k_pct,accuracy,n_traces,n_total
LLaMA-3.1-8B,GPQA,10,38.91,717,7168
LLaMA-3.1-8B,GPQA,20,40.93,1434,7168
LLaMA-3.1-8B,GPQA,30,41.47,2151,7168
LLaMA-3.1-8B,GPQA,40,39.94,2867,7168
LLaMA-3.1-8B,GPQA,50,38.62,3584,7168
LLaMA-3.1-8B,GSM8K,10,82.85,2111,21104
LLaMA-3.1-8B,GSM8K,20,77.49,4221,21104
LLaMA-3.1-8B,GSM8K,30,75.25,6331,21104
LLaMA-3.1-8B,GSM8K,40,77.13,8442,21104
LLaMA-3.1-8B,GSM8K,50,78.03,10552,21104
LLaMA-3.1-8B,MATH500,10,54.5,800,8000
LLaMA-3.1-8B,MATH500,20,44.19,1600,8000
LLaMA-3.1-8B,MATH500,30,39.29,2400,8000
LLaMA-3.1-8B,MATH500,40,36.59,3200,8000
LLaMA-3.1-8B,MATH500,50,35.72,4000,8000
LLaMA-3.1-8B,SVAMP,10,86.19,1600,16000
LLaMA-3.1-8B,SVAMP,20,78.88,3200,16000
LLaMA-3.1-8B,SVAMP,30,79.79,4800,16000
LLaMA-3.1-8B,SVAMP,40,80.94,6400,16000
LLaMA-3.1-8B,SVAMP,50,81.66,8000,16000
Phi-4,AQuA,10,53.32,407,4064
Phi-4,AQuA,20,53.26,813,4064
Phi-4,AQuA,30,52.83,1219,4064
Phi-4,AQuA,40,52.64,1626,4064
Phi-4,AQuA,50,52.85,2032,4064
Phi-4,CommonsenseQA,10,65.76,1954,19536
Phi-4,CommonsenseQA,20,58.01,3908,19536
Phi-4,CommonsenseQA,30,54.72,5861,19536
Phi-4,CommonsenseQA,40,54.06,7815,19536
Phi-4,CommonsenseQA,50,54.95,9769,19536
Phi-4,GPQA,10,17.43,717,7168
Phi-4,GPQA,20,16.44,1442,7168
Phi-4,GPQA,30,17.29,2151,7168
Phi-4,GPQA,40,18.73,2872,7168
Phi-4,GPQA,50,19.78,3584,7168
Phi-4,GSM8K,10,62.58,2111,21104
Phi-4,GSM8K,20,62.73,4221,21104
Phi-4,GSM8K,30,63.01,6331,21104
Phi-4,GSM8K,40,61.41,8442,21104
Phi-4,GSM8K,50,61.44,10552,21104
Phi-4,MATH500,10,60.75,800,8000
Phi-4,MATH500,20,58.56,1600,8000
Phi-4,MATH500,30,56.58,2400,8000
Phi-4,MATH500,40,55.94,3200,8000
Phi-4,MATH500,50,55.78,4000,8000
Phi-4,SVAMP,10,47.31,1600,16000
Phi-4,SVAMP,20,52.03,3200,16000
Phi-4,SVAMP,30,54.06,4800,16000
Phi-4,SVAMP,40,54.53,6400,16000
Phi-4,SVAMP,50,54.86,8000,16000
Phi-4-Reas.,AQuA,10,73.46,407,4064
Phi-4-Reas.,AQuA,20,71.83,813,4064
Phi-4-Reas.,AQuA,30,71.37,1219,4064
Phi-4-Reas.,AQuA,40,68.88,1626,4064
Phi-4-Reas.,AQuA,50,67.37,2032,4064
Phi-4-Reas.,CommonsenseQA,10,67.2,1954,19536
Phi-4-Reas.,CommonsenseQA,20,75.33,3908,19536
Phi-4-Reas.,CommonsenseQA,30,77.34,5861,19536
Phi-4-Reas.,CommonsenseQA,40,78.44,7815,19536
Phi-4-Reas.,CommonsenseQA,50,78.71,9768,19536
Phi-4-Reas.,GPQA,10,56.21,717,7168
Phi-4-Reas.,GPQA,20,58.79,1434,7168
Phi-4-Reas.,GPQA,30,57.51,2151,7168
Phi-4-Reas.,GPQA,40,56.33,2867,7168
Phi-4-Reas.,GPQA,50,54.27,3584,7168
Phi-4-Reas.,GSM8K,10,96.02,2111,21104
Phi-4-Reas.,GSM8K,20,97.2,4221,21104
Phi-4-Reas.,GSM8K,30,97.17,6331,21104
Phi-4-Reas.,GSM8K,40,97.25,8442,21104
Phi-4-Reas.,GSM8K,50,97.15,10552,21104
Phi-4-Reas.,MATH500,10,88.5,800,8000
Phi-4-Reas.,MATH500,20,90.0,1600,8000
Phi-4-Reas.,MATH500,30,91.17,2400,8000
Phi-4-Reas.,MATH500,40,91.38,3200,8000
Phi-4-Reas.,MATH500,50,90.85,4000,8000
Phi-4-Reas.,SVAMP,10,94.5,1600,16000
Phi-4-Reas.,SVAMP,20,95.88,3200,16000
Phi-4-Reas.,SVAMP,30,96.42,4800,16000
Phi-4-Reas.,SVAMP,40,96.45,6400,16000
Phi-4-Reas.,SVAMP,50,96.31,8000,16000
Qwen2.5-7B,AQuA,10,86.49,407,4064
Qwen2.5-7B,AQuA,20,80.69,813,4064
Qwen2.5-7B,AQuA,30,77.44,1219,4064
Qwen2.5-7B,AQuA,40,72.76,1626,4064
Qwen2.5-7B,AQuA,50,66.58,2032,4064
Qwen2.5-7B,CommonsenseQA,10,82.29,1954,19536
Qwen2.5-7B,CommonsenseQA,20,86.03,3908,19536
Qwen2.5-7B,CommonsenseQA,30,86.15,5861,19536
Qwen2.5-7B,CommonsenseQA,40,85.9,7815,19536
Qwen2.5-7B,CommonsenseQA,50,85.1,9768,19536
Qwen2.5-7B,GPQA,10,39.61,717,7168
Qwen2.5-7B,GPQA,20,37.94,1434,7168
Qwen2.5-7B,GPQA,30,36.36,2151,7168
Qwen2.5-7B,GPQA,40,35.86,2867,7168
