metric,spearman_rho,spearman_p_value,pearson_r,pearson_p_value,n_models,caveat
model_level_frs_avg,0.7999999999999999,0.00962792472537983,0.9461221880752466,0.00011337066287996862,9,Sparse judged-in-bin0; SC re-ranking changes which judged traces enter bin0.
model_level_rank,0.7999999999999999,0.00962792472537983,,,9,Ranks discrete; ties possible.
