model,default_frs_rank,sc_frs_rank_k10,rank_difference,absolute_rank_difference,default_frs_avg,sc_frs_avg_k10
DS-R1-1.5B,2,3.0,1.0,1.0,79.9,86.16427199534785
DS-R1-7B,1,1.0,0.0,0.0,88.5,94.06828962306115
Gemma-7B,9,9.0,0.0,0.0,26.3,62.02137802848091
LLaMA-3.1-8B,8,8.0,0.0,0.0,63.1,77.00899968709109
Phi-4,4,5.0,1.0,1.0,74.2,85.00953075195596
Phi-4-Reas.,6,4.0,-2.0,2.0,69.7,85.0363804221888
Qwen2.5-7B,7,7.0,0.0,0.0,68.1,79.5453695427927
Qwen2.5-Math,5,2.0,-3.0,3.0,73.8,90.47673351748108
Qwen3-4B,3,6.0,3.0,3.0,76.3,82.19369397041498
