model,default_frs_avg,default_rank,sc_frs_avg,sc_rank,rank_difference
DS-R1-7B,88.5,1.0,94.06828962306115,1.0,0.0
DS-R1-1.5B,79.9,2.0,86.16427199534785,3.0,1.0
Qwen2.5-7B,68.1,7.0,79.5453695427927,7.0,0.0
Phi-4,74.2,4.0,85.00953075195596,5.0,1.0
Phi-4-Reas.,69.7,6.0,85.0363804221888,4.0,-2.0
