split,seed,model,benchmark,regime,frs_cal,acc_cal,bon_reasoning,bon_accuracy,random_reasoning,random_accuracy,lift
3,45,LLaMA-3.1-8B,gpqa,reliable,49.107142857142854,0.42748091603053434,51.236979166666664,0.4166666666666667,50.965711805555564,0.3975694444444444,0.27126736111110006
3,45,LLaMA-3.1-8B,gsm8k,reliable,77.08333333333333,0.6752136752136753,77.54237288135593,0.7542372881355932,77.14512711864407,0.75,0.3972457627118615
3,45,LLaMA-3.1-8B,math500,reliable,66.34615384615384,0.3333333333333333,45.79207920792079,0.26732673267326734,45.9674092409241,0.28217821782178215,-0.17533003300330563
3,45,LLaMA-3.1-8B,svamp,reliable,90.86538461538461,0.8076923076923077,76.02272727272727,0.8090909090909091,75.5965909090909,0.7954545454545454,0.42613636363635976
3,45,Phi-4,aqua,flat,85.09615384615384,0.5737704918032787,74.70930232558139,0.5116279069767442,75.296753875969,0.5271317829457364,-0.5874515503876125
3,45,Phi-4,commonsenseqa,flat,85.26785714285714,0.5488721804511278,70.85176991150442,0.6194690265486725,70.93473451327434,0.6194690265486725,-0.08296460176991616
3,45,Phi-4,gpqa,flat,58.035714285714285,0.25190839694656486,50.81521739130435,0.2391304347826087,51.10960144927536,0.25452898550724634,-0.2943840579710084
3,45,Phi-4,gsm8k,flat,80.76923076923077,0.59375,89.14772727272727,0.5909090909090909,89.14772727272727,0.5909090909090909,0.0
3,45,Phi-4,math500,flat,87.5,0.5221238938053098,74.5575221238938,0.5221238938053098,75.38716814159292,0.5103244837758113,-0.8296460176991189
3,45,Phi-4,svamp,flat,78.64583333333333,0.5641025641025641,79.7004132231405,0.5289256198347108,79.3560606060606,0.5330578512396694,0.34435261707990605
3,45,Phi-4-Reas.,aqua,inverted,81.73076923076923,0.7016129032258065,82.41666666666667,0.5866666666666667,85.11666666666666,0.611111111111111,-2.6999999999999886
3,45,Phi-4-Reas.,commonsenseqa,inverted,24.107142857142858,0.8507462686567164,60.57692307692308,0.7692307692307693,60.90745192307692,0.7740384615384616,-0.3305288461538396
3,45,Phi-4-Reas.,gpqa,inverted,55.859375,0.5894039735099338,63.955479452054796,0.6027397260273972,63.30622146118722,0.6061643835616438,0.6492579908675751
3,45,Phi-4-Reas.,gsm8k,inverted,78.36538461538461,0.984,94.22669491525424,0.9915254237288136,94.25317796610169,0.9915254237288136,-0.026483050847446066
3,45,Phi-4-Reas.,math500,inverted,58.17307692307692,0.8780487804878049,88.3125,0.93,88.61458333333334,0.925,-0.3020833333333428
3,45,Phi-4-Reas.,svamp,inverted,58.854166666666664,0.9915254237288136,91.45833333333333,0.9833333333333333,91.97916666666667,0.9833333333333333,-0.5208333333333428
3,45,Qwen2.5-7B,aqua,flat,82.8125,0.7043478260869566,69.62209302325581,0.7558139534883721,66.40625,0.6986434108527131,3.2158430232558146
3,45,Qwen2.5-7B,commonsenseqa,flat,50.0,0.8198198198198198,89.78658536585365,0.9024390243902439,89.83739837398375,0.9024390243902439,-0.05081300813009193
3,45,Qwen2.5-7B,gpqa,flat,53.84615384615385,0.3858267716535433,50.28089887640449,0.30337078651685395,50.52083333333333,0.3024344569288389,-0.23993445692883597
3,45,Qwen2.5-7B,gsm8k,flat,71.63461538461539,0.6935483870967742,61.5990990990991,0.6126126126126126,61.95570570570571,0.6306306306306306,-0.35660660660661136
3,45,Qwen2.5-7B,math500,flat,66.66666666666667,0.4789915966386555,66.40625,0.5,65.77524038461539,0.49038461538461536,0.6310096153846132
3,45,Qwen2.5-7B,svamp,flat,60.714285714285715,0.7089552238805971,61.3125,0.68,62.5,0.69,-1.1875
3,45,Qwen2.5-Math,aqua,inverted,65.38461538461539,0.4806201550387597,79.76973684210526,0.5921052631578947,79.07072368421052,0.5701754385964912,0.6990131578947398
3,45,Qwen2.5-Math,commonsenseqa,inverted,73.4375,0.5508474576271186,72.69467213114754,0.5327868852459017,72.9764344262295,0.5450819672131147,-0.28176229508196116
3,45,Qwen2.5-Math,gpqa,inverted,52.88461538461539,0.36885245901639346,52.25,0.28,53.16666666666667,0.32333333333333336,-0.9166666666666714
3,45,Qwen2.5-Math,gsm8k,inverted,92.70833333333333,0.672566371681416,90.98837209302326,0.7131782945736435,91.16602067183463,0.7209302325581395,-0.17764857881137175
3,45,Qwen2.5-Math,math500,inverted,75.96153846153847,0.6859504132231405,80.625,0.6,80.84375,0.605,-0.21875
3,45,Qwen2.5-Math,svamp,inverted,64.42307692307692,0.7734375,81.25,0.6216216216216216,82.03828828828829,0.6351351351351351,-0.7882882882882853
3,45,Qwen3-4B,aqua,reliable,85.22727272727273,0.4722222222222222,76.02848101265823,0.45569620253164556,74.83649789029535,0.4455696202531645,1.1919831223628847
3,45,Qwen3-4B,commonsenseqa,reliable,73.29545454545455,0.7102803738317757,72.607421875,0.6796875,72.40397135416667,0.6796875,0.2034505208333286
3,45,Qwen3-4B,gpqa,reliable,57.291666666666664,0.5546218487394958,54.8828125,0.5416666666666666,54.14496527777777,0.53125,0.7378472222222285
3,45,Qwen3-4B,gsm8k,reliable,90.86538461538461,0.8503937007874016,84.23672566371681,0.8053097345132744,84.40265486725664,0.8053097345132744,-0.16592920353983232
3,45,Qwen3-4B,math500,reliable,66.66666666666667,0.41739130434782606,70.69174757281553,0.4368932038834951,70.44902912621359,0.4385113268608414,0.2427184466019412
3,45,Qwen3-4B,svamp,reliable,85.71428571428571,0.8768115942028986,86.02941176470588,0.8431372549019608,86.58088235294117,0.8431372549019608,-0.5514705882352899
4,46,DS-R1-1.5B,aqua,reliable,86.53846153846153,0.53125,74.90671641791045,0.5671641791044776,73.20429104477611,0.5609452736318409,1.7024253731343322
4,46,DS-R1-1.5B,commonsenseqa,reliable,50.0,0.432,54.310344827586206,0.4051724137931034,54.633620689655174,0.41810344827586204,-0.32327586206896797
4,46,DS-R1-1.5B,gpqa,reliable,69.71153846153847,0.30578512396694213,51.74731182795699,0.3548387096774194,51.38328853046595,0.3431899641577061,0.3640232974910447
4,46,DS-R1-1.5B,gsm8k,reliable,89.90384615384616,0.859504132231405,88.13559322033899,0.8559322033898306,87.52648305084746,0.847457627118644,0.6091101694915295
4,46,DS-R1-1.5B,math500,reliable,82.29166666666667,0.5897435897435898,78.21428571428571,0.6571428571428571,77.39087301587301,0.638095238095238,0.8234126984126959
4,46,DS-R1-1.5B,svamp,reliable,100.0,0.9015151515151515,89.9639423076923,0.8846153846153846,89.7235576923077,0.8894230769230769,0.2403846153846132
4,46,DS-R1-7B,aqua,reliable,96.875,0.8712121212121212,87.58928571428571,0.7571428571428571,86.6889880952381,0.7607142857142857,0.9002976190476062
4,46,DS-R1-7B,commonsenseqa,reliable,69.23076923076923,0.5158730158730159,78.09684684684684,0.5315315315315315,77.67454954954955,0.527027027027027,0.42229729729729115
4,46,DS-R1-7B,gpqa,reliable,72.11538461538461,0.448,65.7967032967033,0.46153846153846156,65.73946886446886,0.47802197802197804,0.057234432234437804
4,46,DS-R1-7B,gsm8k,reliable,95.3125,0.923728813559322,98.22198275862068,0.9741379310344828,98.22198275862068,0.9741379310344828,0.0
4,46,DS-R1-7B,math500,reliable,90.86538461538461,0.7619047619047619,88.39285714285714,0.6923076923076923,87.81478937728939,0.6877289377289377,0.5780677655677522
4,46,DS-R1-7B,svamp,reliable,100.0,0.9583333333333334,97.19036697247707,0.9908256880733946,97.27637614678899,0.9908256880733946,-0.08600917431192556
4,46,Gemma-7B,aqua,inverted,22.321428571428573,0.3161764705882353,39.5,0.38666666666666666,41.09722222222223,0.41333333333333333,-1.5972222222222285
4,46,Gemma-7B,commonsenseqa,inverted,25.0,0.2184873949579832,19.979508196721312,0.1557377049180328,19.56967213114754,0.1557377049180328,0.4098360655737707
4,46,Gemma-7B,gpqa,inverted,31.25,0.16153846153846155,34.73684210526316,0.16842105263157894,34.989035087719294,0.1587719298245614,-0.25219298245613686
4,46,Gemma-7B,gsm8k,inverted,25.0,0.3893129770992366,56.780660377358494,0.41509433962264153,56.95754716981132,0.41509433962264153,-0.17688679245282657
4,46,Gemma-7B,math500,inverted,12.01923076923077,0.096,34.07258064516129,0.10752688172043011,34.66621863799283,0.10573476702508959,-0.593637992831539
4,46,Gemma-7B,svamp,inverted,16.826923076923077,0.4330708661417323,47.60514018691589,0.40186915887850466,49.299065420560744,0.4174454828660436,-1.6939252336448547
4,46,LLaMA-3.1-8B,aqua,reliable,65.86538461538461,0.4461538461538462,42.12662337662338,0.37662337662337664,39.285714285714285,0.356060606060606,2.8409090909090935
4,46,LLaMA-3.1-8B,commonsenseqa,reliable,50.416666666666664,0.6666666666666666,55.319148936170215,0.6914893617021277,55.346852836879435,0.6888297872340425,-0.02770390070921991
4,46,LLaMA-3.1-8B,gpqa,reliable,47.11538461538461,0.3888888888888889,53.75,0.43157894736842106,53.25657894736842,0.42105263157894735,0.4934210526315823
4,46,LLaMA-3.1-8B,gsm8k,reliable,75.0,0.7058823529411765,76.13636363636364,0.7520661157024794,75.64566115702479,0.743801652892562,0.49070247933885014
4,46,LLaMA-3.1-8B,math500,reliable,67.1875,0.3620689655172414,45.19230769230769,0.23076923076923078,46.749799679487175,0.2532051282051282,-1.557491987179482
4,46,LLaMA-3.1-8B,svamp,reliable,90.38461538461539,0.813953488372093,76.52027027027027,0.7927927927927928,76.6891891891892,0.7837837837837838,-0.1689189189189193
4,46,Phi-4,aqua,flat,80.28846153846153,0.5079365079365079,75.51470588235294,0.5411764705882353,75.88235294117646,0.5549019607843138,-0.3676470588235219
4,46,Phi-4,commonsenseqa,flat,90.86538461538461,0.625,66.3716814159292,0.5132743362831859,66.70353982300885,0.5176991150442478,-0.3318584070796504
4,46,Phi-4,gpqa,flat,51.041666666666664,0.23529411764705882,50.911458333333336,0.25,50.18446180555555,0.2456597222222222,0.7269965277777857
4,46,Phi-4,gsm8k,flat,80.76923076923077,0.5813953488372093,89.3348623853211,0.6146788990825688,89.3348623853211,0.6192660550458715,0.0
4,46,Phi-4,math500,flat,52.604166666666664,0.48717948717948717,77.64423076923077,0.5576923076923077,78.50560897435898,0.5448717948717948,-0.8613782051282044
4,46,Phi-4,svamp,flat,80.76923076923077,0.5615384615384615,78.15366972477064,0.5137614678899083,78.09633027522936,0.518348623853211,0.057339449541274234
4,46,Phi-4-Reas.,aqua,inverted,70.41666666666667,0.6595744680851063,90.53030303030303,0.696969696969697,91.6650883838384,0.7042929292929293,-1.1347853535353636
4,46,Phi-4-Reas.,commonsenseqa,inverted,22.395833333333332,0.7837837837837838,60.052083333333336,0.8333333333333334,61.796875,0.8375,-1.7447916666666643
4,46,Phi-4-Reas.,gpqa,inverted,59.61538461538461,0.5691056910569106,62.05357142857143,0.6309523809523809,61.72495039682539,0.621031746031746,0.32862103174603874
4,46,Phi-4-Reas.,gsm8k,inverted,75.0,0.9920634920634921,95.39194915254237,0.9830508474576272,95.44491525423729,0.9830508474576272,-0.05296610169492055
4,46,Phi-4-Reas.,math500,inverted,72.1590909090909,0.8899082568807339,86.81818181818181,0.9181818181818182,86.71401515151514,0.9136363636363637,0.1041666666666714
4,46,Phi-4-Reas.,svamp,inverted,63.94230769230769,1.0,90.27173913043478,0.9739130434782609,90.81521739130434,0.9739130434782609,-0.5434782608695627
