abs_pass1_gap_bucket,n_pairs,mean_abs_frs_gap,median_abs_frs_gap,max_abs_frs_gap,p25_abs_frs_gap,p75_abs_frs_gap
"[0,1)",7,15.228571428571428,16.5,33.30000000000001,3.6999999999999993,24.1
"[1,2)",7,10.657142857142857,9.899999999999991,23.5,8.000000000000007,12.099999999999994
"[2,3)",11,11.763636363636362,7.0,34.099999999999994,2.299999999999997,21.15
"[3,5)",9,14.055555555555557,17.5,24.200000000000003,10.899999999999991,18.900000000000006
"[5,inf)",182,22.084065934065936,15.199999999999989,75.1,6.324999999999999,32.0
