model,sc_frs_avg_k10,n_benchmarks_covered,mean_judged_coverage_fraction,sc_frs_rank_k10
DS-R1-7B,94.06828962306115,6,0.03203397254124445,1.0
Qwen2.5-Math,90.47673351748108,6,0.030374891715628183,2.0
DS-R1-1.5B,86.16427199534785,6,0.026826609631007026,3.0
Phi-4-Reas.,85.0363804221888,6,0.03691688905887215,4.0
Phi-4,85.00953075195596,6,0.030275191903575974,5.0
Qwen3-4B,82.19369397041498,6,0.026448197796205854,6.0
Qwen2.5-7B,79.5453695427927,6,0.02881745285012632,7.0
LLaMA-3.1-8B,77.00899968709109,6,0.026020125960774687,8.0
Gemma-7B,62.02137802848091,6,0.030041995306360578,9.0
