metric,pearson_r,pearson_p,spearman_rho,spearman_p,n,value,r2_full
frs_pct,0.8151412772155914,6.253935776248205e-14,0.7441771835754948,1.1263881702789976e-10,54.0,,
sc_frs_k10,0.7609608359907508,2.423858707038999e-11,0.7129788450543166,1.4608908694521164e-09,54.0,,
delta_r2_add_frs_after_base4,,,,,,0.07095455947871632,0.8504786675827298
delta_r2_add_sc_frs_k10_after_base4,,,,,,0.10108375594485186,0.8806078640488654
