benchmark,model_a,model_b,abs_d_pass1,abs_d_frs,abs_d_outcome,abs_d_highconf,abs_d_pass16
GSM8K,DS-R1-7B,Phi-4,1.5,7.400000000000006,0.03874999999999995,34.34,0.3032600454889973
GSM8K,DS-R1-7B,Qwen2.5-7B,0.5999999999999943,33.30000000000001,0.14812499999999995,34.300000000000004,0.6823351023502653
MATH500,DS-R1-7B,Qwen2.5-Math,0.0,16.5,0.04749999999999999,16.25,2.200000000000003
MATH500,Phi-4,Qwen2.5-7B,0.19999999999999574,1.1999999999999886,0.14125,7.25,1.0
SVAMP,DS-R1-7B,Phi-4,1.2000000000000028,23.5,0.053749999999999964,48.94,0.09999999999999432
SVAMP,DS-R1-7B,Qwen2.5-Math,0.29999999999999716,24.5,0.03499999999999992,51.5,0.20000000000000284
SVAMP,Phi-4,Qwen2.5-Math,1.5,1.0,0.018750000000000044,2.5600000000000023,0.29999999999999716
SVAMP,Phi-4,Qwen2.5-7B,1.2999999999999972,10.599999999999994,0.059374999999999956,14.939999999999998,0.30000000000001137
SVAMP,Phi-4-Reas.,Qwen2.5-7B,1.0,9.899999999999991,0.10187499999999994,32.25,0.19999999999998863
AQuA,DS-R1-7B,Phi-4-Reas.,1.2000000000000028,13.599999999999994,0.020000000000000018,18.680000000000007,0.39370078740155634
AQuA,Phi-4,Qwen2.5-7B,0.7000000000000028,1.2999999999999972,0.09624999999999995,33.169999999999995,1.5748031496062964
GPQA,DS-R1-1.5B,Qwen2.5-7B,2.0,1.5,0.06500000000000006,3.3500000000000014,8.705357142857139
GPQA,DS-R1-1.5B,LLaMA-3.1-8B,0.5,6.100000000000001,0.01187500000000008,2.6499999999999986,0.6696428571428612
GPQA,Qwen2.5-Math,Gemma-7B,0.5,23.700000000000003,0.08812500000000001,27.79,0.4464285714285552
CSQA,DS-R1-7B,Qwen2.5-Math,1.3999999999999986,8.600000000000009,0.03749999999999998,6.189999999999998,1.8837018837018888
