benchmark,tie_metric,tolerance_pp,model_a,model_b,predictor,correct_direction,abs_tie_gap
GSM8K,pass16_pct,5.0,DS-R1-7B,Qwen2.5-7B,pass16_pct,True,0.6823351023502653
GSM8K,pass16_pct,5.0,DS-R1-7B,Qwen2.5-7B,high_conf_accuracy_pct,True,0.6823351023502653
GSM8K,pass16_pct,1.0,DS-R1-7B,LLaMA-3.1-8B,frs_pct,True,0.4548900682335244
GSM8K,pass16_pct,1.0,DS-R1-7B,LLaMA-3.1-8B,pass1_pct,True,0.4548900682335244
GSM8K,pass16_pct,1.0,DS-R1-7B,LLaMA-3.1-8B,pass16_pct,True,0.4548900682335244
GSM8K,pass16_pct,1.0,DS-R1-7B,LLaMA-3.1-8B,high_conf_accuracy_pct,True,0.4548900682335244
GSM8K,pass16_pct,2.0,DS-R1-7B,LLaMA-3.1-8B,frs_pct,True,0.4548900682335244
GSM8K,pass16_pct,2.0,DS-R1-7B,LLaMA-3.1-8B,pass1_pct,True,0.4548900682335244
GSM8K,pass16_pct,2.0,DS-R1-7B,LLaMA-3.1-8B,pass16_pct,True,0.4548900682335244
GSM8K,pass16_pct,2.0,DS-R1-7B,LLaMA-3.1-8B,high_conf_accuracy_pct,True,0.4548900682335244
GSM8K,pass16_pct,3.0,DS-R1-7B,LLaMA-3.1-8B,frs_pct,True,0.4548900682335244
GSM8K,pass16_pct,3.0,DS-R1-7B,LLaMA-3.1-8B,pass1_pct,True,0.4548900682335244
GSM8K,pass16_pct,3.0,DS-R1-7B,LLaMA-3.1-8B,pass16_pct,True,0.4548900682335244
GSM8K,pass16_pct,3.0,DS-R1-7B,LLaMA-3.1-8B,high_conf_accuracy_pct,True,0.4548900682335244
GSM8K,pass16_pct,5.0,DS-R1-7B,LLaMA-3.1-8B,frs_pct,True,0.4548900682335244
GSM8K,pass16_pct,5.0,DS-R1-7B,LLaMA-3.1-8B,pass1_pct,True,0.4548900682335244
GSM8K,pass16_pct,5.0,DS-R1-7B,LLaMA-3.1-8B,pass16_pct,True,0.4548900682335244
GSM8K,pass16_pct,5.0,DS-R1-7B,LLaMA-3.1-8B,high_conf_accuracy_pct,True,0.4548900682335244
GSM8K,pass16_pct,1.0,DS-R1-1.5B,Qwen3-4B,frs_pct,False,0.9855951478392768
GSM8K,pass16_pct,1.0,DS-R1-1.5B,Qwen3-4B,pass1_pct,True,0.9855951478392768
GSM8K,pass16_pct,1.0,DS-R1-1.5B,Qwen3-4B,pass16_pct,True,0.9855951478392768
GSM8K,pass16_pct,1.0,DS-R1-1.5B,Qwen3-4B,high_conf_accuracy_pct,False,0.9855951478392768
GSM8K,pass16_pct,2.0,DS-R1-1.5B,Qwen3-4B,frs_pct,False,0.9855951478392768
GSM8K,pass16_pct,2.0,DS-R1-1.5B,Qwen3-4B,pass1_pct,True,0.9855951478392768
GSM8K,pass16_pct,2.0,DS-R1-1.5B,Qwen3-4B,pass16_pct,True,0.9855951478392768
GSM8K,pass16_pct,2.0,DS-R1-1.5B,Qwen3-4B,high_conf_accuracy_pct,False,0.9855951478392768
GSM8K,pass16_pct,3.0,DS-R1-1.5B,Qwen3-4B,frs_pct,False,0.9855951478392768
GSM8K,pass16_pct,3.0,DS-R1-1.5B,Qwen3-4B,pass1_pct,True,0.9855951478392768
GSM8K,pass16_pct,3.0,DS-R1-1.5B,Qwen3-4B,pass16_pct,True,0.9855951478392768
GSM8K,pass16_pct,3.0,DS-R1-1.5B,Qwen3-4B,high_conf_accuracy_pct,False,0.9855951478392768
GSM8K,pass16_pct,5.0,DS-R1-1.5B,Qwen3-4B,frs_pct,False,0.9855951478392768
GSM8K,pass16_pct,5.0,DS-R1-1.5B,Qwen3-4B,pass1_pct,True,0.9855951478392768
GSM8K,pass16_pct,5.0,DS-R1-1.5B,Qwen3-4B,pass16_pct,True,0.9855951478392768
GSM8K,pass16_pct,5.0,DS-R1-1.5B,Qwen3-4B,high_conf_accuracy_pct,False,0.9855951478392768
GSM8K,pass16_pct,3.0,DS-R1-1.5B,Phi-4,frs_pct,False,2.198635329795323
GSM8K,pass16_pct,3.0,DS-R1-1.5B,Phi-4,pass1_pct,True,2.198635329795323
GSM8K,pass16_pct,3.0,DS-R1-1.5B,Phi-4,pass16_pct,True,2.198635329795323
GSM8K,pass16_pct,3.0,DS-R1-1.5B,Phi-4,high_conf_accuracy_pct,False,2.198635329795323
GSM8K,pass16_pct,5.0,DS-R1-1.5B,Phi-4,frs_pct,False,2.198635329795323
GSM8K,pass16_pct,5.0,DS-R1-1.5B,Phi-4,pass1_pct,True,2.198635329795323
GSM8K,pass16_pct,5.0,DS-R1-1.5B,Phi-4,pass16_pct,True,2.198635329795323
