benchmark,tie_metric,tolerance_pp,model_a,model_b,predictor,correct_direction,abs_tie_gap
GSM8K,pass16_pct,2.0,DS-R1-7B,Qwen2.5-Math,frs_pct,True,0.07581501137225644
GSM8K,pass16_pct,2.0,DS-R1-7B,Qwen2.5-Math,pass1_pct,True,0.07581501137225644
GSM8K,pass16_pct,2.0,DS-R1-7B,Qwen2.5-Math,pass16_pct,False,0.07581501137225644
GSM8K,pass16_pct,2.0,DS-R1-7B,Qwen2.5-Math,high_conf_accuracy_pct,True,0.07581501137225644
GSM8K,pass16_pct,3.0,DS-R1-7B,Qwen2.5-Math,frs_pct,True,0.07581501137225644
GSM8K,pass16_pct,3.0,DS-R1-7B,Qwen2.5-Math,pass1_pct,True,0.07581501137225644
GSM8K,pass16_pct,3.0,DS-R1-7B,Qwen2.5-Math,pass16_pct,False,0.07581501137225644
GSM8K,pass16_pct,3.0,DS-R1-7B,Qwen2.5-Math,high_conf_accuracy_pct,True,0.07581501137225644
GSM8K,pass16_pct,5.0,DS-R1-7B,Qwen2.5-Math,frs_pct,True,0.07581501137225644
GSM8K,pass16_pct,5.0,DS-R1-7B,Qwen2.5-Math,pass1_pct,True,0.07581501137225644
GSM8K,pass16_pct,5.0,DS-R1-7B,Qwen2.5-Math,pass16_pct,False,0.07581501137225644
GSM8K,pass16_pct,5.0,DS-R1-7B,Qwen2.5-Math,high_conf_accuracy_pct,True,0.07581501137225644
GSM8K,pass1_pct,5.0,DS-R1-7B,Phi-4-Reas.,frs_pct,False,3.9000000000000057
GSM8K,pass1_pct,5.0,DS-R1-7B,Phi-4-Reas.,pass1_pct,True,3.9000000000000057
GSM8K,pass1_pct,5.0,DS-R1-7B,Phi-4-Reas.,pass16_pct,False,3.9000000000000057
GSM8K,pass1_pct,5.0,DS-R1-7B,Phi-4-Reas.,high_conf_accuracy_pct,False,3.9000000000000057
GSM8K,pass16_pct,1.0,DS-R1-7B,Phi-4-Reas.,frs_pct,False,0.0
GSM8K,pass16_pct,1.0,DS-R1-7B,Phi-4-Reas.,pass1_pct,True,0.0
GSM8K,pass16_pct,1.0,DS-R1-7B,Phi-4-Reas.,pass16_pct,False,0.0
GSM8K,pass16_pct,1.0,DS-R1-7B,Phi-4-Reas.,high_conf_accuracy_pct,False,0.0
GSM8K,pass16_pct,2.0,DS-R1-7B,Phi-4-Reas.,frs_pct,False,0.0
GSM8K,pass16_pct,2.0,DS-R1-7B,Phi-4-Reas.,pass1_pct,True,0.0
GSM8K,pass16_pct,2.0,DS-R1-7B,Phi-4-Reas.,pass16_pct,False,0.0
GSM8K,pass16_pct,2.0,DS-R1-7B,Phi-4-Reas.,high_conf_accuracy_pct,False,0.0
GSM8K,pass16_pct,3.0,DS-R1-7B,Phi-4-Reas.,frs_pct,False,0.0
GSM8K,pass16_pct,3.0,DS-R1-7B,Phi-4-Reas.,pass1_pct,True,0.0
GSM8K,pass16_pct,3.0,DS-R1-7B,Phi-4-Reas.,pass16_pct,False,0.0
GSM8K,pass16_pct,3.0,DS-R1-7B,Phi-4-Reas.,high_conf_accuracy_pct,False,0.0
GSM8K,pass16_pct,5.0,DS-R1-7B,Phi-4-Reas.,frs_pct,False,0.0
GSM8K,pass16_pct,5.0,DS-R1-7B,Phi-4-Reas.,pass1_pct,True,0.0
GSM8K,pass16_pct,5.0,DS-R1-7B,Phi-4-Reas.,pass16_pct,False,0.0
GSM8K,pass16_pct,5.0,DS-R1-7B,Phi-4-Reas.,high_conf_accuracy_pct,False,0.0
GSM8K,pass1_pct,1.0,DS-R1-7B,Qwen2.5-7B,frs_pct,True,0.5999999999999943
GSM8K,pass1_pct,1.0,DS-R1-7B,Qwen2.5-7B,pass1_pct,True,0.5999999999999943
GSM8K,pass1_pct,1.0,DS-R1-7B,Qwen2.5-7B,pass16_pct,True,0.5999999999999943
GSM8K,pass1_pct,1.0,DS-R1-7B,Qwen2.5-7B,high_conf_accuracy_pct,True,0.5999999999999943
GSM8K,pass1_pct,2.0,DS-R1-7B,Qwen2.5-7B,frs_pct,True,0.5999999999999943
GSM8K,pass1_pct,2.0,DS-R1-7B,Qwen2.5-7B,pass1_pct,True,0.5999999999999943
GSM8K,pass1_pct,2.0,DS-R1-7B,Qwen2.5-7B,pass16_pct,True,0.5999999999999943
GSM8K,pass1_pct,2.0,DS-R1-7B,Qwen2.5-7B,high_conf_accuracy_pct,True,0.5999999999999943
GSM8K,pass1_pct,3.0,DS-R1-7B,Qwen2.5-7B,frs_pct,True,0.5999999999999943
GSM8K,pass1_pct,3.0,DS-R1-7B,Qwen2.5-7B,pass1_pct,True,0.5999999999999943
GSM8K,pass1_pct,3.0,DS-R1-7B,Qwen2.5-7B,pass16_pct,True,0.5999999999999943
GSM8K,pass1_pct,3.0,DS-R1-7B,Qwen2.5-7B,high_conf_accuracy_pct,True,0.5999999999999943
GSM8K,pass1_pct,5.0,DS-R1-7B,Qwen2.5-7B,frs_pct,True,0.5999999999999943
GSM8K,pass1_pct,5.0,DS-R1-7B,Qwen2.5-7B,pass1_pct,True,0.5999999999999943
GSM8K,pass1_pct,5.0,DS-R1-7B,Qwen2.5-7B,pass16_pct,True,0.5999999999999943
GSM8K,pass1_pct,5.0,DS-R1-7B,Qwen2.5-7B,high_conf_accuracy_pct,True,0.5999999999999943
GSM8K,pass16_pct,1.0,DS-R1-7B,Qwen2.5-7B,frs_pct,True,0.6823351023502653
GSM8K,pass16_pct,1.0,DS-R1-7B,Qwen2.5-7B,pass1_pct,True,0.6823351023502653
GSM8K,pass16_pct,1.0,DS-R1-7B,Qwen2.5-7B,pass16_pct,True,0.6823351023502653
GSM8K,pass16_pct,1.0,DS-R1-7B,Qwen2.5-7B,high_conf_accuracy_pct,True,0.6823351023502653
GSM8K,pass16_pct,2.0,DS-R1-7B,Qwen2.5-7B,frs_pct,True,0.6823351023502653
GSM8K,pass16_pct,2.0,DS-R1-7B,Qwen2.5-7B,pass1_pct,True,0.6823351023502653
GSM8K,pass16_pct,2.0,DS-R1-7B,Qwen2.5-7B,pass16_pct,True,0.6823351023502653
GSM8K,pass16_pct,2.0,DS-R1-7B,Qwen2.5-7B,high_conf_accuracy_pct,True,0.6823351023502653
GSM8K,pass16_pct,3.0,DS-R1-7B,Qwen2.5-7B,frs_pct,True,0.6823351023502653
GSM8K,pass16_pct,3.0,DS-R1-7B,Qwen2.5-7B,pass1_pct,True,0.6823351023502653
GSM8K,pass16_pct,3.0,DS-R1-7B,Qwen2.5-7B,pass16_pct,True,0.6823351023502653
GSM8K,pass16_pct,3.0,DS-R1-7B,Qwen2.5-7B,high_conf_accuracy_pct,True,0.6823351023502653
GSM8K,pass16_pct,5.0,DS-R1-7B,Qwen2.5-7B,frs_pct,True,0.6823351023502653
GSM8K,pass16_pct,5.0,DS-R1-7B,Qwen2.5-7B,pass1_pct,True,0.6823351023502653
