held_out_benchmark,mean_snr_heldout_fold,delta_r2_test_add_frs
AQuA,-0.683311,0.32151392597817385
CSQA,0.7388806666666667,-0.007636160647615742
GPQA,-0.505575,0.23475367933793745
GSM8K,0.29823133333333346,0.14210611212576518
MATH500,0.0827184444444445,0.06907338009092978
SVAMP,-0.4242583333333334,0.01774555906896702
