predictor,pearson_r,pearson_p,spearman_rho,spearman_p,n
frs_pct,0.8151412772155914,6.253935776248205e-14,0.7441771835754948,1.1263881702789976e-10,54
pass1_pct,0.8469619338805728,6.975318078296941e-16,0.8666997033055818,2.4825657314291413e-17,54
pass16_pct,0.3279968488811111,0.015466149577013366,0.47372534285460766,0.00029664775110437583,54
high_conf_accuracy_pct,0.731411704263578,3.354455337321072e-10,0.6669970272437469,3.648812527443882e-08,54
snr,0.2870330475444477,0.03534319069612599,0.20888524656445823,0.12955810458242709,54
