k,grand_mean_recall,grand_std_recall,grand_mean_jaccard,regime_flip_rate,mean_frs_shift,n_pairs,n_pairs_frs_shift
8,0.9872019889849264,0.007003910825328382,0.4909464150462543,0.025925925925925925,-0.2729109389438133,54,54
4,0.9821132019535073,0.014198551653384132,0.2448342948274045,0.05,,54,0
