model,recall_k8,recall_k4,recall_drop
Phi-4,0.9916645143321706,0.9689553430066332,0.022709171325537403
Phi-4-Reas.,0.9836589407827914,0.9798997235071756,0.0037592172756157893
DS-R1-7B,0.9893948575802546,0.9810181814840332,0.008376676096221392
DS-R1-1.5B,0.9862713048820652,0.9812010289955978,0.005070275886467357
Qwen2.5-7B,0.9846074761269162,0.9832633007872542,0.0013441753396620237
LLaMA-3.1-8B,0.9871054907997412,0.9841104909615828,0.0029949998381584297
Qwen2.5-Math,0.9882035733862428,0.985251044973979,0.0029525284122637885
Gemma-7B,0.9872793022588214,0.9856657391003748,0.0016135631584466292
Qwen3-4B,0.9866324407153316,0.9896539647649356,-0.0030215240496039852
