quantity,point_estimate,ci95_lo,ci95_hi,n_units,bootstrap_n
frac_frs_gap_gt_trace0_pass1_le_2pp,0.6666666666666666,0.4,0.8666666666666667,15,2000
amplification_frs_pass1_le_2pp,19.006227106227197,8.511951530612256,32.530142922553864,14,2000
amplification_trace0_pass1_le_2pp,10.835769884877047,6.884837372448993,15.901562499999995,14,2000
frac_frs_gap_gt_trace0_pass1_le_3pp,0.6296296296296297,0.4444444444444444,0.8148148148148148,27,2000
amplification_frs_pass1_le_3pp,12.465540113299362,6.125279328190703,20.098926046841285,26,2000
amplification_trace0_pass1_le_3pp,7.331605844994233,4.809906597026176,10.459592136358706,26,2000
frac_frs_gap_gt_trace0_pass1_le_5pp,0.6764705882352942,0.5294117647058824,0.8235294117647058,34,2000
amplification_frs_pass1_le_5pp,10.671662377153714,5.5705667122078095,17.47838647609707,33,2000
amplification_trace0_pass1_le_5pp,6.125118082872949,3.9053167959986124,8.67552778352438,33,2000
lobo_frs_to_frs,0.711681810096768,0.5943892674746414,0.8255706989856569,6,2000
lobo_trace0_to_frs,0.3155165395983077,0.1738498729316411,0.4583333333333333,6,2000
lobo_unfiltered_to_frs,0.46567959645135254,0.32222222222222224,0.5869147484582607,6,2000
frac_frs_reverses_trace0,0.3425414364640884,0.27624309392265195,0.4143646408839779,181,2000
