benchmark,model_a,model_b,pass1_a,pass1_b,frs_a,frs_b,pass1_gap_pp,frs_gap_pp,trace0_a,trace0_b,trace0_gap_pp,unfiltered_a,unfiltered_b,unfiltered_gap_pp,frs_gt_trace0,frs_gt_unfiltered
CSQA,DS-R1-7B,DS-R1-1.5B,47.3,39.6,79.2,56.1,7.699999999999996,23.1,60.0,54.87499999999999,5.125000000000007,69.25,55.75,13.5,True,True
CSQA,DS-R1-7B,Qwen3-4B,47.3,69.5,79.2,75.0,22.200000000000003,4.200000000000003,60.0,71.875,11.875,69.25,74.375,5.125,False,False
CSQA,DS-R1-7B,Phi-4,47.3,21.5,79.2,77.2,25.799999999999997,2.0,60.0,59.375,0.625,69.25,62.68749999999999,6.562500000000007,True,False
CSQA,DS-R1-7B,Qwen2.5-Math,47.3,45.9,79.2,70.6,1.3999999999999986,8.600000000000009,60.0,64.125,4.125,69.25,65.5,3.75,True,True
CSQA,DS-R1-7B,Phi-4-Reas.,47.3,36.9,79.2,33.4,10.399999999999999,45.800000000000004,60.0,72.25,12.25,69.25,65.625,3.625,True,True
CSQA,DS-R1-7B,Qwen2.5-7B,47.3,81.8,79.2,70.1,34.5,9.100000000000009,60.0,74.375,14.375,69.25,88.0,18.75,False,False
CSQA,DS-R1-7B,LLaMA-3.1-8B,47.3,66.3,79.2,55.0,19.0,24.200000000000003,60.0,65.5,5.5,69.25,58.1875,11.0625,True,True
CSQA,DS-R1-7B,Gemma-7B,47.3,27.3,79.2,13.4,19.999999999999996,65.8,60.0,39.125,20.875,69.25,27.0625,42.1875,True,True
CSQA,DS-R1-1.5B,Qwen3-4B,39.6,69.5,56.1,75.0,29.9,18.9,54.87499999999999,71.875,17.000000000000007,55.75,74.375,18.625,True,True
CSQA,DS-R1-1.5B,Phi-4,39.6,21.5,56.1,77.2,18.1,21.1,54.87499999999999,59.375,4.500000000000007,55.75,62.68749999999999,6.937499999999993,True,True
CSQA,DS-R1-1.5B,Qwen2.5-Math,39.6,45.9,56.1,70.6,6.299999999999997,14.499999999999993,54.87499999999999,64.125,9.250000000000007,55.75,65.5,9.75,True,True
CSQA,DS-R1-1.5B,Phi-4-Reas.,39.6,36.9,56.1,33.4,2.700000000000003,22.700000000000003,54.87499999999999,72.25,17.375000000000007,55.75,65.625,9.875,True,True
CSQA,DS-R1-1.5B,Qwen2.5-7B,39.6,81.8,56.1,70.1,42.199999999999996,13.999999999999993,54.87499999999999,74.375,19.500000000000007,55.75,88.0,32.25,False,False
CSQA,DS-R1-1.5B,LLaMA-3.1-8B,39.6,66.3,56.1,55.0,26.699999999999996,1.1000000000000014,54.87499999999999,65.5,10.625000000000007,55.75,58.1875,2.4375,False,False
CSQA,DS-R1-1.5B,Gemma-7B,39.6,27.3,56.1,13.4,12.3,42.7,54.87499999999999,39.125,15.749999999999993,55.75,27.0625,28.6875,True,True
CSQA,Qwen3-4B,Phi-4,69.5,21.5,75.0,77.2,48.0,2.200000000000003,71.875,59.375,12.5,74.375,62.68749999999999,11.687500000000007,False,False
CSQA,Qwen3-4B,Qwen2.5-Math,69.5,45.9,75.0,70.6,23.6,4.400000000000006,71.875,64.125,7.75,74.375,65.5,8.875,False,False
CSQA,Qwen3-4B,Phi-4-Reas.,69.5,36.9,75.0,33.4,32.6,41.6,71.875,72.25,0.375,74.375,65.625,8.75,True,True
CSQA,Qwen3-4B,Qwen2.5-7B,69.5,81.8,75.0,70.1,12.299999999999997,4.900000000000006,71.875,74.375,2.5,74.375,88.0,13.625,True,False
CSQA,Qwen3-4B,LLaMA-3.1-8B,69.5,66.3,75.0,55.0,3.200000000000003,20.0,71.875,65.5,6.375,74.375,58.1875,16.1875,True,True
CSQA,Qwen3-4B,Gemma-7B,69.5,27.3,75.0,13.4,42.2,61.6,71.875,39.125,32.75,74.375,27.0625,47.3125,True,True
CSQA,Phi-4,Qwen2.5-Math,21.5,45.9,77.2,70.6,24.4,6.6000000000000085,59.375,64.125,4.75,62.68749999999999,65.5,2.812500000000007,True,True
CSQA,Phi-4,Phi-4-Reas.,21.5,36.9,77.2,33.4,15.399999999999999,43.800000000000004,59.375,72.25,12.875,62.68749999999999,65.625,2.937500000000007,True,True
CSQA,Phi-4,Qwen2.5-7B,21.5,81.8,77.2,70.1,60.3,7.1000000000000085,59.375,74.375,15.0,62.68749999999999,88.0,25.312500000000007,False,False
CSQA,Phi-4,LLaMA-3.1-8B,21.5,66.3,77.2,55.0,44.8,22.200000000000003,59.375,65.5,6.125,62.68749999999999,58.1875,4.499999999999993,True,True
CSQA,Phi-4,Gemma-7B,21.5,27.3,77.2,13.4,5.800000000000001,63.800000000000004,59.375,39.125,20.25,62.68749999999999,27.0625,35.62499999999999,True,True
CSQA,Qwen2.5-Math,Phi-4-Reas.,45.9,36.9,70.6,33.4,9.0,37.199999999999996,64.125,72.25,8.125,65.5,65.625,0.125,True,True
CSQA,Qwen2.5-Math,Qwen2.5-7B,45.9,81.8,70.6,70.1,35.9,0.5,64.125,74.375,10.25,65.5,88.0,22.5,False,False
CSQA,Qwen2.5-Math,LLaMA-3.1-8B,45.9,66.3,70.6,55.0,20.4,15.599999999999994,64.125,65.5,1.375,65.5,58.1875,7.3125,True,True
