metric,value,p_value,ci_low,ci_high,n
pair_pearson_ece_frs,0.4897234914793386,0.00017099040909657605,0.26782581890402596,0.6743410838676472,54
pair_spearman_ece_frs,0.5845309360181661,3.4683137668250474e-06,,,54
model_spearman_ece_frs_ranking,0.65,0.05807305801714864,,,9
