predictor,pearson_r,pearson_p,spearman_rho,spearman_p,n
frs_pct,0.4906153407558572,0.00016568526650135394,0.4009759444931569,0.002657512283541367,54
high_conf_accuracy_pct,0.20088798245584163,0.1452343869750577,0.1856892346576458,0.1788422570889994,54
pass16_pct,-0.08237551312818005,0.5537316293416433,-0.14841501308428215,0.28414734255114654,54
pass1_pct,-0.1281452231674484,0.3557716156268743,-0.14449908519191262,0.29718707128868693,54
snr,0.10310194006789858,0.45815157649063953,0.12924807035329833,0.3516121787434776,54
unfiltered_reasoning_mean,0.007786400219891088,0.9554373252221715,-0.06468951339655848,0.6421225959565763,54
