model,mean_recall,std_recall,confidence_cv,regime
DS-R1-1.5B,0.9862713048820652,0.006484879393991087,0.5656838038988186,reliable
DS-R1-7B,0.9893948575802546,0.005926684721514496,0.426891334068728,reliable
Gemma-7B,0.9872793022588214,0.007994734301437602,1.2725189008227973,unreliable
LLaMA-3.1-8B,0.9871054907997413,0.005918594050987134,0.6886985929309696,unreliable
Phi-4,0.9916645143321706,0.003897531114118868,0.6289042413977499,deceptive
Phi-4-Reas.,0.9836589407827914,0.01034336551434097,0.6978492256888494,deceptive
Qwen2.5-7B,0.9846074761269162,0.008721350284256753,0.5873274115342098,deceptive
Qwen2.5-Math,0.9882035733862428,0.008833598649875441,0.5728570858828194,unreliable
Qwen3-4B,0.9866324407153316,0.0046836426909542235,0.29153117427796227,reliable
