threshold_label,tau_pp,n_pairs,rho_frs_gap_bon_gap,p_frs,rho_acc_gap_bon_gap,p_acc,frac_frs_gap_gt_acc_pp,amplification_mean_frs_over_mean_acc_pp,frs_concordance,frs_concordance_n,acc_concordance,acc_concordance_n,frs_concordance_boot_ci_low,frs_concordance_boot_ci_high,acc_concordance_boot_ci_low,acc_concordance_boot_ci_high
≤3pp,3.0,14,0.3230769230769231,0.25987361950878973,0.05054945054945055,0.8637420361792153,1.0,9.837751523299923,0.35714285714285715,14,0.35714285714285715,14,0.14285714285714285,0.6428571428571429,0.14285714285714285,0.6428571428571429
≤5pp,5.0,24,0.34695652173913033,0.09670236783045817,0.33999999999999997,0.10403796669819437,0.9583333333333334,5.359510852706233,0.5,24,0.5,24,0.3333333333333333,0.7083333333333334,0.2916666666666667,0.7083333333333334
≤10pp,10.0,46,0.3597286463151403,0.014069970451259005,0.02522355843354918,0.8678478332537266,0.782608695652174,2.545654863478199,0.6086956521739131,46,0.5869565217391305,46,0.45652173913043476,0.7391304347826086,0.43478260869565216,0.7391304347826086
≤15pp,15.0,85,0.4468829392222005,1.8082725066971894e-05,0.2071526284932578,0.05713660277507617,0.6941176470588235,1.804602837951872,0.6588235294117647,85,0.6470588235294118,85,0.5647058823529412,0.7529411764705882,0.5411764705882353,0.7414705882352939
≤20pp,20.0,118,0.4571815688465739,1.9474810339044865e-07,0.32302725523064507,0.0003600423316088429,0.635593220338983,1.5468474692723053,0.6864406779661016,118,0.6949152542372882,118,0.6016949152542372,0.7711864406779662,0.6101694915254238,0.7796610169491526
All,inf,216,0.5946784315126401,4.77458945310497e-22,0.5416401719477487,7.262440289913943e-18,0.5138888888888888,1.0731456868383435,0.75,216,0.7962962962962963,216,0.6944444444444444,0.8055555555555556,0.7407407407407407,0.8472222222222222
