control,partial_r,p_value,delta_from_raw,control_col
none (raw),0.5137493468837557,7.091090442215298e-05,0.0,
all three jointly,0.3081989434702693,0.023372014598076116,-0.2055504034134864,
length,0.46907253426534856,0.00034646169471328365,-0.04467681261840717,mean_length
TTR (lexical diversity),0.3131525351129844,0.0211289274753513,-0.20059681177077132,mean_ttr
max 4-gram repetition,0.476710769829665,0.00026821143326501856,-0.03703857705409075,mean_rep
