model,mean_recall,std_recall,confidence_cv,regime
DS-R1-1.5B,0.9812010289955978,0.012507637039138386,0.5656838038988186,reliable
DS-R1-7B,0.9810181814840332,0.016381393380989647,0.426891334068728,reliable
Gemma-7B,0.9856657391003747,0.008708980400269207,1.2725189008227973,unreliable
LLaMA-3.1-8B,0.9841104909615828,0.010065188658232837,0.6886985929309696,unreliable
Phi-4,0.9689553430066331,0.03050341219070991,0.6289042413977499,deceptive
Phi-4-Reas.,0.9798997235071757,0.014863411648712745,0.6978492256888494,deceptive
Qwen2.5-7B,0.9832633007872542,0.008491829216830726,0.5873274115342098,deceptive
Qwen2.5-Math,0.985251044973979,0.003997937374881271,0.5728570858828194,unreliable
Qwen3-4B,0.9896539647649355,0.004266946467498313,0.29153117427796227,reliable
