model,benchmark,resample_id,k,recall,precision,jaccard,snr_k16,snr_k8,regime_flip,num_scored_in_overlap,partial_frs_estimate
DS-R1-1.5B,AQuA,3,4,0.8725490196078431,0.21867321867321868,0.2119047619047619,0.6541537763683102,0.658236362239395,False,9,93.05555555555556
DS-R1-1.5B,AQuA,4,4,1.0,0.25061425061425063,0.25061425061425063,0.6541537763683102,0.6511219830059343,False,11,91.47727272727273
DS-R1-1.5B,AQuA,5,4,1.0,0.25061425061425063,0.25061425061425063,0.6541537763683102,0.7213323157444267,False,10,93.75
DS-R1-1.5B,AQuA,6,4,1.0,0.25061425061425063,0.25061425061425063,0.6541537763683102,0.6822723122601387,False,15,92.08333333333333
DS-R1-1.5B,AQuA,7,4,0.9803921568627451,0.2457002457002457,0.24449877750611246,0.6541537763683102,0.6404005065591227,False,13,94.23076923076923
DS-R1-1.5B,AQuA,8,4,1.0,0.25061425061425063,0.25061425061425063,0.6541537763683102,0.6530987557293727,False,14,95.08928571428571
DS-R1-1.5B,AQuA,9,4,0.9803921568627451,0.2457002457002457,0.24449877750611246,0.6541537763683102,0.6255674012621923,False,15,97.91666666666667
DS-R1-1.5B,CommonsenseQA,0,8,1.0,0.5,0.5,0.00039351231637744637,-0.025875216146668573,True,26,58.89423076923077
DS-R1-1.5B,CommonsenseQA,1,8,1.0,0.5,0.5,0.00039351231637744637,0.007919097268060301,False,27,58.7962962962963
DS-R1-1.5B,CommonsenseQA,2,8,0.9856704196519959,0.49283520982599793,0.4893292682926829,0.00039351231637744637,0.0035065656163638234,False,21,49.70238095238095
DS-R1-1.5B,CommonsenseQA,3,8,0.9959058341862845,0.49795291709314227,0.4969356486210419,0.00039351231637744637,-0.0017502418087226037,True,19,47.36842105263158
DS-R1-1.5B,CommonsenseQA,4,8,1.0,0.5,0.5,0.00039351231637744637,0.0016111419298186211,False,28,59.82142857142857
DS-R1-1.5B,CommonsenseQA,5,8,1.0,0.5,0.5,0.00039351231637744637,-0.005059135489078657,True,25,54.5
DS-R1-1.5B,CommonsenseQA,6,8,1.0,0.5,0.5,0.00039351231637744637,0.0018012343943815284,False,22,50.28409090909091
DS-R1-1.5B,CommonsenseQA,7,8,0.9744114636642784,0.4872057318321392,0.4810510358767054,0.00039351231637744637,0.001099244516182438,False,27,52.31481481481482
DS-R1-1.5B,CommonsenseQA,8,8,1.0,0.5,0.5,0.00039351231637744637,0.002899174182818006,False,19,52.30263157894737
DS-R1-1.5B,CommonsenseQA,9,8,0.9959058341862845,0.49795291709314227,0.4969356486210419,0.00039351231637744637,-0.016048917786171627,True,30,55.208333333333336
DS-R1-1.5B,CommonsenseQA,0,4,0.9304703476482618,0.23285568065506654,0.22887323943661972,0.00039351231637744637,0.033284827541717424,False,18,45.486111111111114
DS-R1-1.5B,CommonsenseQA,1,4,0.9897750511247444,0.24769703172978505,0.2470648289943849,0.00039351231637744637,-0.023784662051638213,True,14,74.55357142857143
DS-R1-1.5B,CommonsenseQA,2,4,0.9938650306748467,0.24872057318321392,0.24833929483903935,0.00039351231637744637,0.013892255368972664,False,12,59.375
DS-R1-1.5B,CommonsenseQA,3,4,1.0,0.2502558853633572,0.2502558853633572,0.00039351231637744637,0.0013611722353639574,False,15,62.5
DS-R1-1.5B,CommonsenseQA,4,4,1.0,0.2502558853633572,0.2502558853633572,0.00039351231637744637,0.006831466960527439,False,15,57.5
DS-R1-1.5B,CommonsenseQA,5,4,1.0,0.2502558853633572,0.2502558853633572,0.00039351231637744637,0.0013939152011549932,False,14,43.30357142857143
DS-R1-1.5B,CommonsenseQA,6,4,1.0,0.2502558853633572,0.2502558853633572,0.00039351231637744637,-0.0007393281812950861,True,11,52.84090909090909
DS-R1-1.5B,CommonsenseQA,7,4,0.9550102249488752,0.2389969293756397,0.23633603238866396,0.00039351231637744637,0.03275714555444433,False,13,55.76923076923077
DS-R1-1.5B,CommonsenseQA,8,4,1.0,0.2502558853633572,0.2502558853633572,0.00039351231637744637,-0.04546242568228165,True,15,57.083333333333336
