model,benchmark,mean_selection_gain,std_selection_gain,stderr_selection_gain,n_questions,mean_top_conf_reasoning,mean_random_reasoning,frs_pct,pass1_pct,pass16_pct,high_conf_accuracy_pct,unfiltered_reasoning_mean,snr
DS-R1-1.5B,AQuA,0.16875,0.24976551503360103,0.03532217787736197,50,0.7425,0.57375,90.1,11.0,90.94488188976378,80.34,0.615,-1.234517
DS-R1-1.5B,CSQA,-0.0325,0.3659832646447102,0.05175784964621308,50,0.5925,0.625,56.1,39.6,90.9090909090909,44.37,0.5575,-1.23333
DS-R1-1.5B,GPQA,0.01625,0.2582422554501877,0.03652097000354727,50,0.50375,0.4875,56.6,37.9,96.20535714285714,36.26,0.5075,-3.651697
DS-R1-1.5B,GSM8K,0.16,0.244361412665748,0.03455792239125494,50,0.875,0.715,95.1,60.1,95.67854435178164,92.28,0.723125,-1.699841
DS-R1-1.5B,MATH500,0.07625,0.22648468491268897,0.032029771307332186,50,0.775,0.69875,84.5,43.2,84.0,76.38,0.64375,0.584968
DS-R1-1.5B,SVAMP,0.06625,0.26172803155183816,0.03701393318738228,50,0.79625,0.73,96.9,65.8,97.3,91.62,0.739375,-1.896066
DS-R1-7B,AQuA,0.05625,0.15724682031761406,0.022238058593321494,50,0.86,0.80375,96.8,69.3,93.7007874015748,92.14,0.774375,2.147622
DS-R1-7B,CSQA,0.02125,0.17616132521072836,0.024912973527862946,50,0.74625,0.725,79.2,47.3,93.12039312039312,56.91,0.6925,-0.12443
DS-R1-7B,GPQA,0.105,0.2241093483101497,0.031693847983480954,50,0.67375,0.56875,62.9,46.2,98.21428571428572,43.1,0.584375,0.755437
DS-R1-7B,GSM8K,0.025,0.14630874888399534,0.020691181696558564,50,0.96375,0.93875,98.9,91.5,98.18043972706596,96.92,0.93375,3.799395
DS-R1-7B,MATH500,0.06125,0.15129131667085194,0.021395823190520153,50,0.83375,0.7725,94.0,63.6,76.2,77.25,0.7475,3.688
DS-R1-7B,SVAMP,0.03375,0.11195004466278698,0.015832127147038706,50,0.975,0.94125,99.0,91.1,98.0,96.25,0.891875,-0.785886
Gemma-7B,AQuA,-0.19,0.2783769925837981,0.039368451836464174,50,0.19,0.38,22.2,3.5,94.88188976377953,13.51,0.40625,-4.016469
