comparison,n_questions,mean_top_conf_rs_pct,mean_random_rs_pct,mean_paired_diff_pp,bootstrap_ci95_lo,bootstrap_ci95_hi,pct_top_gt_other,pct_equal,pct_top_lt_other,model,benchmark,n_questions_total,n_paired_top_random
top_conf_vs_random,6,83.33333333333333,93.75,-10.416666666666666,-26.041666666666668,3.125,0.16666666666666666,0.3333333333333333,0.5,Phi-4-Reas.,MATH500,500,6
top_conf_vs_random,3,87.5,79.16666666666667,8.333333333333334,0.0,25.0,0.3333333333333333,0.6666666666666666,0.0,Phi-4-Reas.,SVAMP,1000,3
top_conf_vs_random,10,70.0,68.75,1.25,-20.625,20.625,0.5,0.1,0.4,Qwen2.5-7B,AQuA,254,10
top_conf_vs_random,8,81.25,84.375,-3.125,-8.59375,1.5625,0.125,0.625,0.25,Qwen2.5-7B,CSQA,1221,8
top_conf_vs_random,6,43.75,53.125,-9.375,-11.458333333333334,-7.291666666666667,0.0,0.0,1.0,Qwen2.5-7B,GPQA,448,6
top_conf_vs_random,8,63.28125,86.71875,-23.4375,-39.0625,-5.46875,0.125,0.0,0.875,Qwen2.5-7B,GSM8K,1319,8
top_conf_vs_random,11,67.04545454545455,65.3409090909091,1.7045454545454546,-9.105113636363637,14.772727272727273,0.2727272727272727,0.2727272727272727,0.45454545454545453,Qwen2.5-7B,MATH500,500,11
top_conf_vs_random,4,56.25,84.375,-28.125,-50.0,-3.125,0.25,0.0,0.75,Qwen2.5-7B,SVAMP,1000,4
top_conf_vs_random,15,66.66666666666667,77.91666666666667,-11.25,-31.260416666666668,6.677083333333277,0.26666666666666666,0.26666666666666666,0.4666666666666667,Qwen2.5-Math,AQuA,254,15
top_conf_vs_random,6,69.79166666666667,66.66666666666667,3.125,-12.5,21.875,0.3333333333333333,0.3333333333333333,0.3333333333333333,Qwen2.5-Math,CSQA,1221,6
top_conf_vs_random,7,63.392857142857146,55.357142857142854,8.035714285714286,-12.5,32.142857142857146,0.42857142857142855,0.14285714285714285,0.42857142857142855,Qwen2.5-Math,GPQA,448,7
top_conf_vs_random,4,89.0625,95.3125,-6.25,-21.875,9.375,0.25,0.25,0.5,Qwen2.5-Math,GSM8K,1319,4
top_conf_vs_random,9,84.02777777777777,100.0,-15.972222222222221,-33.333333333333336,0.0,0.0,0.6666666666666666,0.3333333333333333,Qwen2.5-Math,MATH500,500,9
top_conf_vs_random,7,79.46428571428571,93.75,-14.285714285714286,-36.607142857142854,4.464285714285714,0.2857142857142857,0.2857142857142857,0.42857142857142855,Qwen2.5-Math,SVAMP,1000,7
top_conf_vs_random,12,73.95833333333333,68.22916666666667,5.729166666666667,-3.6458333333333335,16.666666666666668,0.4166666666666667,0.25,0.3333333333333333,Qwen3-4B,AQuA,254,12
top_conf_vs_random,3,68.75,50.0,18.75,6.25,31.25,1.0,0.0,0.0,Qwen3-4B,CSQA,1221,3
top_conf_vs_random,3,45.833333333333336,45.833333333333336,0.0,0.0,0.0,0.0,1.0,0.0,Qwen3-4B,GPQA,448,3
top_conf_vs_random,7,95.53571428571429,81.25,14.285714285714286,3.5714285714285716,28.571428571428573,0.5714285714285714,0.42857142857142855,0.0,Qwen3-4B,GSM8K,1319,7
top_conf_vs_random,3,52.083333333333336,58.333333333333336,-6.25,-31.25,12.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,Qwen3-4B,MATH500,500,3
top_conf_vs_random,7,79.46428571428571,83.92857142857143,-4.464285714285714,-30.379464285714285,19.642857142857142,0.2857142857142857,0.2857142857142857,0.42857142857142855,Qwen3-4B,SVAMP,1000,7
