model,benchmark,between_ss,within_ss,total_ss,between_var,within_var,total_var,between_fraction
DS-R1-1.5B,AQuA,4.902607138855022,8.172885815292178,13.075492954147201,0.0012063501818048775,0.002011044738014808,0.0032173949198196854,0.37494625679103327
DS-R1-1.5B,CommonsenseQA,8.026482483541894,84.29551694482328,92.32199942836519,0.0004108559829822837,0.00431488108849423,0.004725737071476515,0.08694008506358043
DS-R1-1.5B,GPQA,40.34455102594654,44.51695308778407,84.8615041137306,0.005628425087325131,0.006210512428541303,0.011838937515866435,0.4754164028471277
DS-R1-1.5B,GSM8K,39.071097802573455,112.86875947206293,151.9398572746364,0.0018513598276427908,0.005348216426841496,0.007199576254484288,0.25714844349202676
DS-R1-1.5B,MATH500,14.86541076885028,24.50300357281209,39.36841434166237,0.001858176346106285,0.0030628754466015115,0.004921051792707796,0.37759739673128456
DS-R1-1.5B,SVAMP,23.44427760720228,78.08249820755339,101.52677581475567,0.0014652673504501426,0.004880156137972087,0.006345423488422229,0.23091718828911087
DS-R1-7B,AQuA,10.053975562011116,9.851645311857535,19.90562087386865,0.0024739113095499795,0.0024241253227995896,0.004898036632349569,0.5050822391181777
DS-R1-7B,CommonsenseQA,6.645299572521019,29.41087656742029,36.05617613994131,0.00034015661202503166,0.0015054707497655759,0.0018456273617906075,0.18430405783267942
DS-R1-7B,GPQA,16.82787385361348,47.38165766710563,64.20953152071911,0.0023476386514527732,0.00661016429507612,0.008957802946528894,0.262077505552014
DS-R1-7B,GSM8K,52.3414616650668,75.44915098863596,127.79061265370277,0.0024801678196108225,0.0035751114001438575,0.00605527921975468,0.40958768862706596
DS-R1-7B,MATH500,30.856736134411808,29.710223270859075,60.566959405270886,0.003857092016801476,0.003713777908857385,0.00757086992565886,0.5094648375517836
DS-R1-7B,SVAMP,32.09610754171351,52.15886596531637,84.25497350702989,0.002006006721357094,0.003259929122832274,0.005265935844189368,0.38094021285325713
Gemma-7B,AQuA,10.557029135627078,101.4907379394209,112.04776707504797,0.002597694177073592,0.024973114650448058,0.027570808827521647,0.09421900508339566
Gemma-7B,CommonsenseQA,151.18000393239765,1870.7739660606728,2021.9539699930706,0.007738534189823795,0.09576033814806884,0.10349887233789264,0.074769260910977
Gemma-7B,GPQA,11.68928809689609,127.46307772986654,139.15236582676263,0.0016307600581607269,0.017782237406510398,0.019412997464671126,0.08400351677418577
Gemma-7B,GSM8K,32.291575268345426,323.5589385378265,355.8505138061719,0.0015301163413734564,0.01533164037802438,0.016861756719397835,0.09074477629090713
Gemma-7B,MATH500,44.80248164640211,213.32055593627678,258.1230375826789,0.005600310205800264,0.026665069492034593,0.032265379697834856,0.17357025574306406
Gemma-7B,SVAMP,25.64159908905309,313.00489271719374,338.6464918062468,0.0016025999430658183,0.019562805794824605,0.021165405737890424,0.07571789376080021
LLaMA-3.1-8B,AQuA,19.538894752839067,182.43839233806506,201.9772870909041,0.004807798905718274,0.04489133669735853,0.049699135603076795,0.09673807899026378
LLaMA-3.1-8B,CommonsenseQA,67.59967779918027,698.963610064336,766.5632878635163,0.0034602619676075076,0.03577823556840377,0.039238497536011274,0.08818538386776506
LLaMA-3.1-8B,GPQA,16.48277070925648,86.25583808099272,102.7386087902492,0.0022994936815368973,0.012033459553709923,0.01433295323524682,0.16043404620075838
LLaMA-3.1-8B,GSM8K,93.44934830455783,994.5605869547225,1088.0099352592802,0.004428039627774726,0.04712663888147851,0.05155467850925323,0.0858901608120777
LLaMA-3.1-8B,MATH500,56.15073768285098,274.44816455523465,330.59890223808566,0.007018842210356373,0.03430602056940432,0.041324862779760704,0.169845505543794
LLaMA-3.1-8B,SVAMP,73.44003635794274,765.1824914040851,838.6225277620279,0.004590002272371422,0.04782390571275532,0.05241390798512674,0.0875722198328334
Phi-4,AQuA,7.3566098183423065,65.13987197916482,72.49648179750713,0.0018101894238047014,0.016028511805896855,0.01783870122970156,0.1014754045429453
Phi-4,CommonsenseQA,12.012817427763682,148.79968730452774,160.81250473229142,0.0006149067069903605,0.007616691610592123,0.008231598317582484,0.07470076688228766
Phi-4,GPQA,79.17226967166057,104.35163172635944,183.52390139802003,0.011045238514461575,0.0145579843368247,0.025603222851286276,0.4314003193510724
Phi-4,GSM8K,39.35055921738051,329.7560822098637,369.10664142724414,0.0018646019341063546,0.015625288201756238,0.017489890135862593,0.10661027139804806
