resample_id,spearman_rho,num_models_ranked
0,0.9333333333333332,9
1,0.9500000000000001,9
2,0.9666666666666667,9
3,0.9833333333333333,9
4,0.9833333333333333,9
5,0.9500000000000001,9
6,1.0,9
7,0.9833333333333333,9
8,0.9833333333333333,9
9,0.9833333333333333,9
