estimator,n_bootstrap,amp_3pp_mean,amp_3pp_ci,amp_5pp_mean,amp_5pp_ci,rank_spearman_mean,rank_spearman_ci
top1_conf,2000,8.199338888888887,"[7.216597222222222, 9.208333333333332]",6.845167418459403,"[6.130985426786953, 7.609429215822344]",0.9116380803660283,"[0.8527551392330579, 0.9583333333333334]"
frs,2000,7.909673611111112,"[7.0361111111111105, 8.822291666666667]",6.468650242886884,"[5.837873004857737, 7.108041290770298]",0.9364479257962437,"[0.8880557823110972, 0.9715146780406995]"
