metric,metric_col,threshold_pp,n,mean_acc_gap,mean_metric_gap,ratio
accuracy (pass@1),pass1_pct,3.0,27,1.6666666666666667,1.6666666666666667,1.0
accuracy (pass@1),pass1_pct,5.0,34,2.1191176470588236,2.1191176470588236,1.0
single random-trace reasoning,random_trace_pct,3.0,27,1.6666666666666667,6.75462962962963,4.052777777777778
single random-trace reasoning,random_trace_pct,5.0,34,2.1191176470588236,7.139705882352941,3.369188063844552
all-trace unfiltered reasoning,unfiltered_pct,3.0,27,1.6666666666666667,6.733796296296297,4.040277777777778
all-trace unfiltered reasoning,unfiltered_pct,5.0,34,2.1191176470588236,7.051470588235294,3.3275503122831367
FRS@10%,frs_pct,3.0,27,1.6666666666666667,12.255555555555555,7.353333333333333
FRS@10%,frs_pct,5.0,34,2.1191176470588236,12.855882352941178,6.066620402498265
