metric,column,pearson_r,pearson_p,spearman_rho,spearman_p,n
accuracy (pass@1),pass1_pct,-0.12814522316744834,0.355771615626875,-0.14449908519191262,0.29718707128868693,54
single random-trace reasoning,random_trace_pct,0.00965765848012544,0.9447428743655132,-0.09025236359104423,0.516322369029688,54
all-trace unfiltered reasoning,unfiltered_pct,0.007786400219891095,0.9554373252221715,-0.06468951339655848,0.6421225959565763,54
FRS@10%,frs_pct,0.49061534075585744,0.00016568526650135394,0.4009759444931569,0.002657512283541367,54
top-1 conf (reference),top1_conf_pct,0.5137493468837558,7.091090442215298e-05,0.4394846198874029,0.0008844686290298042,54
