estimator,n_bootstrap,amp_3pp_mean,amp_3pp_ci,amp_5pp_mean,amp_5pp_ci,rank_spearman_mean,rank_spearman_ci
random_single_trace,2000,4.55993611111111,"[3.4583333333333335, 5.638958333333333]",3.702097501734906,"[2.926786953504511, 4.460660999306037]",0.9148806177824848,"[0.8607518097800197, 0.9576257891518104]"
frs,2000,7.909673611111112,"[7.0361111111111105, 8.822291666666667]",6.468650242886884,"[5.837873004857737, 7.108041290770298]",0.9364479257962437,"[0.8880557823110972, 0.9715146780406995]"
